"PeakNumber";"Group";"CompoundName";"Isomer";"Class";"TechnicalMixture";"SpectrumFilename";"DetectedinPacificDolphin";"TypicallyMonitored";"RetentionTime1D";"RetentionTime2D";"Identification";"Comment";"FragmentIdentification";"Formula";"Instrument"
520;1;"chlorodiphenyl-methanone";"chlorodiphenyl-methanone";"other";"Kelthane 500PPM";"K1";"FALSE";FALSE;1177.17;1.135;"Reference Database MS";"NIST I.D. (4-chlorophenyl)phenyl-methanone";"139 [M-C6H5Cl]+; 181 [M-Cl]+; 216 M+";"C13H9ClO";"GCxGC-TOF, EI, 70 eV"
531;2;"DDM ";"p,p'-DDM ";"known DDT degradation product ";"Kelthane 500PPM";"K2";"TRUE";FALSE;1208.65;1.109;"Authentic MS RT";"NIST I.D. bis(p-chlorophenyl)-methane";"236 [M]+; 201 [M-Cl]+; 165 [M-HCl2]+ ";C13H10Cl2;"GCxGC-TOF, EI, 70 eV"
556;3;"DBP";"o,p'-DBP ";"known DDT degradation product ";"Kelthane 500PPM";"K3";"FALSE";FALSE;1254.13;1.195;"Authentic MS RT";"Potential GC-inlet degradation product of dicofol.";"75 [M-C7H5Cl2O]+; 111 [M-C7H4ClO]+; 139 [M-C6H4Cl]+; 250 M+ ";"C13H8Cl2O";"GCxGC-TOF, EI, 70 eV"
563;3;"DBP";"DBP 1 ";"known DDT degradation product ";"Kelthane 500PPM";"K3";"FALSE";FALSE;1275.11;1.155;"Authentic MS";"Potential GC-inlet degradation product of dicofol.";"75 [M-C7H5Cl2O]+; 111 [M-C7H4ClO]+; 139 [M-C6H4Cl]+; 250 M+ ";"C13H8Cl2O";"GCxGC-TOF, EI, 70 eV"
583;3;"DBP";"p,p'-DBP ";"known DDT degradation product ";"Kelthane 500PPM";"K3";"TRUE ";FALSE;1289.11;1.181;"Authentic MS RT";"Potential GC-inlet degradation product of dicofol.";"75 [M-C7H5Cl2O]+; 111 [M-C7H4ClO]+; 139 [M-C6H4Cl]+; 250 M+ ";"C14H9Cl5O";"GCxGC-TOF, EI, 70 eV"
846;3;"DBP";"DBP 2";"known DDT degradation product ";"Kelthane 500PPM";"K3";"FALSE";FALSE;1338.08;1.089;"Authentic MS";"Potential GC-inlet degradation product of dicofol.";"75 [M-C7H5Cl2O]+; 111 [M-C7H4ClO]+; 139 [M-C6H4Cl]+; 250 M+ ";"C13H8Cl2O";"GCxGC-TOF, EI, 70 eV"
841;6;"DDOH";"DDOH ";"known DDT degradation product ";"Kelthane 500PPM";"K6";"FALSE";FALSE;1334.58;1.188;"Reference Database MS";"NIST I.D. 2,2-Bis(p-chlorophenyl)ethanol";"165 [M-CH4Cl2O]+; 199 [M-CH4ClO]+; 235 [M-CH3O]+; 266 M+ ";"C14H12Cl2O";"GCxGC-TOF, EI, 70 eV"
860;7;"DDE";"o,p'-DDE";"known major DDT degradation product ";"Kelthane 500PPM";"K7";"TRUE";TRUE;1352.07;1.168;"Authentic MS RT";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";"GCxGC-TOF, EI, 70 eV"
873;7;"DDE";"DDE 1";"known major DDT degradation product ";"Kelthane 500PPM";"K7";"FALSE";FALSE;1369.56;1.155;"Authentic MS";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";"GCxGC-TOF, EI, 70 eV"
886;7;"DDE";"p,p'-DDE";"known major DDT degradation product ";"Kelthane 500PPM";"K7";"TRUE";TRUE;1383.55;1.168;"Authentic MS RT";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";"GCxGC-TOF, EI, 70 eV"
910;7;"DDE";"DDE 2";"known major DDT degradation product ";"Kelthane 500PPM";"K7";"FALSE";FALSE;1408.04;1.135;"Authentic MS";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";"GCxGC-TOF, EI, 70 eV"
1097;7;"DDE";"DDE 3";"known major DDT degradation product ";"Kelthane 500PPM";"K7";"FALSE";FALSE;1551.46;1.016;"Authentic MS";"";"176 [M-Cl4]+; 211 [M-Cl3]+; 246 [M-Cl2]+; 281 [M-Cl]+; 316 M+ ";"C14H8Cl4";"GCxGC-TOF, EI, 70 eV"
868;8;"unknown 1";"unknown 1-1";"other";"Kelthane 500PPM";"K8";"FALSE";FALSE;1359.07;1.214;NA;NA;NA;NA;"GCxGC-TOF, EI, 70 eV"
894;8;"unknown 1";"unknown 1-2";"other";"Kelthane 500PPM";"K8";"FALSE";FALSE;1390.55;1.168;NA;NA;NA;NA;"GCxGC-TOF, EI, 70 eV"
915;8;"unknown 1";"unknown 1-3";"other";"Kelthane 500PPM";"K8";"FALSE";FALSE;1415.03;1.188;NA;NA;NA;NA;"GCxGC-TOF, EI, 70 eV"
921;8;"unknown 1";"unknown 1-4";"other";"Kelthane 500PPM";"K8";"FALSE";FALSE;1418.53;1.129;NA;NA;NA;NA;"GCxGC-TOF, EI, 70 eV"
922;8;"unknown 1";"unknown 1-5";"other";"Kelthane 500PPM";"K8";"FALSE";FALSE;1418.53;1.234;NA;NA;NA;NA;"GCxGC-TOF, EI, 70 eV"
928;8;"unknown 1";"unknown 1-6";"other";"Kelthane 500PPM";"K8";"FALSE";FALSE;1422.03;1.181;NA;NA;NA;NA;"GCxGC-TOF, EI, 70 eV"
927;9;"unknown 2";"unknown 2";"other";"Kelthane 500PPM";"K9";"FALSE";FALSE;1422.03;1.168;NA;NA;NA;NA;"GCxGC-TOF, EI, 70 eV"
935;10;"DDMU";"DDMU";"known DDT degradation product ";"Kelthane 500PPM";"K10";"FALSE";FALSE;1425.53;1.214;"Authentic MS";NA;"176 [M-HCl3]+; 212 [M-Cl2]+; 247 [M-Cl]+; 282 M+ ";"C14H9Cl3";"GCxGC-TOF, EI, 70 eV"
951;11;"DDT";"o,p'-DDT";"DDT";"Kelthane 500PPM";"K11";"TRUE";TRUE;1436.02;1.228;"Authentic MS RT";NA;"235 [M-CH2Cl3]+; 354 M+ ";"C14H9Cl5";"GCxGC-TOF, EI, 70 eV"
997;11;"DDT";"p,p'-DDT";"DDT";"Kelthane 500PPM";"K11";"TRUE";TRUE;1471;1.234;"Authentic MS RT";NA;"235 [M-CH2Cl3]+; 354 M+ ";"C14H9Cl5";"GCxGC-TOF, EI, 70 eV"
